individuals_income_below_185_percent_poverty_level,total_population_white,total_population_black_or_african_american,total_population_american_indian_and_alaska_native,total_population_asian,total_population_native_hawaiian_and_other_pacific_islander,total_population_hispanic_or_latino_origin,total_population_non_hispanic_or_latino_origin,total_lep_households_spanish,total_lep_households_other_indo_european_languages,total_lep_households_asian_and_pacific_island_languages,total_lep_households_other_languages,region
402,1359,236,0,27,0,566,1156,51,0,0,0,Northeast
547,1621,86,0,53,0,1085,791,92,0,0,0,Northeast
410,1026,87,0,34,0,560,774,63,0,0,0,Northeast
387,480,119,0,88,0,463,518,95,0,0,0,Northeast
647,1312,211,0,103,0,889,1040,34,5,0,0,Northeast
1191,2690,453,0,198,0,1413,2345,99,0,0,0,Northeast
295,1354,101,0,185,0,316,1504,76,0,0,0,Northeast
259,1472,115,0,49,0,172,1603,13,12,0,0,Northeast
981,4630,390,0,271,0,571,4909,193,71,0,0,Northeast
320,2469,61,0,106,31,318,2473,0,0,0,0,Northeast
517,2855,96,12,250,0,739,2741,10,24,0,0,Northeast
1006,3059,648,0,482,0,695,4068,76,100,14,0,Northeast
358,3291,59,0,262,0,715,3140,0,10,25,0,Northeast
495,3052,188,31,148,0,526,3144,29,19,0,0,Northeast
424,2995,11,0,208,0,415,3052,43,80,0,0,Northeast
471,2450,41,8,39,16,166,2550,0,92,0,0,Northeast
979,2667,274,0,82,0,1180,2297,146,63,0,0,Northeast
1325,4127,582,0,65,0,1876,3384,155,198,0,0,Northeast
690,1053,431,0,68,0,691,991,86,10,0,0,Northeast
193,1490,10,6,33,0,414,1194,34,6,0,0,Northeast
185,1365,108,0,84,0,292,1490,23,23,0,0,Northeast
332,1714,66,11,93,0,546,1636,0,0,0,22,Northeast
253,1946,47,0,158,0,634,1640,84,17,0,0,Northeast
258,1625,81,0,109,0,646,1466,5,0,6,0,Northeast
386,2032,99,0,142,0,577,1880,37,10,0,0,Northeast
522,2115,163,0,178,0,808,2041,117,0,0,0,Northeast
568,2493,739,0,210,0,184,3417,0,0,0,0,Northeast
1157,851,1268,0,32,0,1479,1387,80,0,0,0,Northeast
2785,730,3238,0,33,0,1810,3272,64,0,0,0,Northeast
1694,827,3535,43,0,0,1057,3712,61,0,0,0,Northeast
1380,3889,2026,13,157,0,1961,5281,0,51,0,0,Northeast
1680,155,3620,0,27,0,520,3690,29,8,0,0,Northeast
2328,317,3839,0,0,0,1180,4034,0,0,0,0,Northeast
1208,99,2355,0,0,0,243,2378,68,0,0,0,Northeast
625,51,789,0,0,0,210,812,0,5,0,0,Northeast
3253,481,4149,0,0,0,604,4196,13,0,0,0,Northeast
2093,315,2989,0,69,0,781,3026,0,0,0,0,Northeast
2002,357,3318,0,0,0,573,3474,22,0,0,0,Northeast
1516,744,3041,0,0,0,197,3776,11,0,0,0,Northeast
2807,291,3857,0,0,0,393,3933,38,0,0,0,Northeast
2856,8,3894,0,0,0,484,3777,11,0,0,0,Northeast
302,201,940,0,0,0,206,976,7,0,0,0,Northeast
3923,338,4810,0,0,0,179,5107,56,0,0,0,Northeast
2919,139,4278,0,0,0,194,4442,23,0,0,0,Northeast
3088,47,4920,0,0,0,101,5000,18,0,0,0,Northeast
820,31,1239,0,0,0,11,1259,0,0,0,0,Northeast
3808,162,6264,0,0,0,482,6382,17,0,0,0,Northeast
1133,3,2216,9,9,0,50,2187,0,0,0,0,Northeast
2905,149,3895,0,83,0,109,4018,0,25,0,0,Northeast
814,104,1073,0,0,0,22,1182,0,0,0,0,Northeast
638,21,936,0,0,0,21,936,0,0,0,0,Northeast
1209,52,1518,0,0,0,126,1542,4,0,0,0,Northeast
802,12,1162,0,0,0,0,1174,0,0,0,0,Northeast
832,13,1511,14,0,0,22,1516,0,0,0,0,Northeast
1456,54,1910,0,0,0,44,1920,0,0,0,0,Northeast
1081,7,1571,0,0,0,56,1613,0,0,0,0,Northeast
1773,109,2229,0,0,0,15,2432,0,0,0,0,Northeast
931,99,1244,0,0,0,54,1318,0,0,0,0,Northeast
1421,95,2086,0,0,0,104,2166,7,0,0,0,Northeast
789,5,1196,0,0,0,77,1186,0,0,0,0,Northeast
745,95,1166,0,3,0,13,1313,0,0,0,0,Northeast
713,4,1074,0,16,0,20,1090,0,0,0,0,Northeast
883,63,1047,0,22,0,19,1243,0,0,0,0,Northeast
764,76,1406,0,0,0,9,1518,0,0,0,0,Northeast
574,0,716,0,0,0,14,716,14,0,0,0,Northeast
599,5139,199,0,915,0,298,6305,0,34,31,0,Northeast
912,212,1296,0,37,0,88,1489,0,0,0,0,Northeast
366,88,673,0,0,0,40,726,0,0,0,0,Northeast
624,112,773,0,5,0,15,875,0,0,0,0,Northeast
1070,3163,327,0,2406,0,416,5712,20,28,208,29,Northeast
775,790,1071,0,217,0,531,1754,42,0,7,0,Northeast
605,686,387,37,275,0,425,1182,33,14,0,0,Northeast
1717,910,939,0,1090,0,288,2906,11,9,58,0,Northeast
573,563,638,44,234,0,171,1451,5,0,8,0,Northeast
1021,1899,1273,0,399,0,606,3062,16,42,0,0,Northeast
2450,0,3823,0,17,0,0,3840,0,0,0,0,Northeast
1443,44,2005,0,0,0,56,2049,9,0,0,0,Northeast
336,622,88,0,13,0,664,274,58,0,0,0,Northeast
1414,123,2285,0,12,0,261,2245,0,0,0,0,Northeast
1106,83,1916,0,1,0,35,1965,0,0,0,0,Northeast
1847,163,2969,85,0,0,260,3335,0,0,0,0,Northeast
1724,1491,177,6,0,0,2699,217,322,0,0,0,Northeast
1501,1290,342,16,0,16,2307,608,159,0,0,0,Northeast
3067,2792,130,0,39,0,4624,187,433,0,0,0,Northeast
2974,2581,0,0,0,0,3897,63,418,7,0,0,Northeast
2849,1943,70,8,0,0,3959,234,550,0,0,0,Northeast
1229,952,199,84,0,0,1879,338,279,0,0,0,Northeast
2745,1717,433,44,0,0,3875,526,297,0,0,0,Northeast
2843,2198,132,107,0,0,4012,200,562,0,0,0,Northeast
2188,2775,7,0,0,0,3743,42,412,0,0,0,Northeast
2660,1737,0,0,0,0,4507,119,289,0,0,0,Northeast
1800,1834,2,1,0,0,3377,191,399,0,0,0,Northeast
2146,1851,33,15,0,0,3300,108,301,0,0,0,Northeast
2243,2478,0,0,0,0,4267,156,608,0,0,0,Northeast
531,1035,123,219,187,0,946,819,8,8,0,0,Northeast
810,1021,73,8,113,0,1115,758,139,0,39,0,Northeast
292,637,79,8,133,0,595,691,61,0,0,0,Northeast
789,887,0,0,7,0,1154,337,65,0,0,0,Northeast
1932,2330,201,65,276,0,2764,1791,242,14,21,0,Northeast
558,751,63,0,112,0,967,547,132,0,0,0,Northeast
1514,2472,58,8,202,0,3459,962,240,32,0,0,Northeast
2489,2394,108,87,61,0,4321,894,329,0,0,0,Northeast
1695,10116,347,75,2584,0,1090,12433,37,46,205,0,Northeast
127,739,50,0,284,0,47,1042,0,10,16,0,Northeast
726,3159,519,0,1157,0,475,4636,21,0,50,0,Northeast
2822,11880,4494,0,2512,0,1268,18642,0,127,96,0,Northeast
737,1638,1101,14,725,0,55,3532,0,0,141,0,Northeast
894,269,7,0,1528,0,123,1752,0,0,307,0,Northeast
797,259,72,0,1573,0,64,1885,0,6,257,0,Northeast
879,811,55,8,619,0,245,1346,35,31,250,0,Northeast
845,10,957,0,0,0,0,981,0,0,0,0,Northeast
913,216,894,22,1112,0,69,2363,12,9,197,0,Northeast
1577,9,1970,0,0,0,0,1979,0,9,0,0,Northeast
1392,242,2223,0,628,0,12,3257,0,14,93,118,Northeast
1966,44,2293,0,0,0,20,2363,0,5,0,0,Northeast
1295,69,1613,85,47,0,104,1737,24,0,0,0,Northeast
457,153,388,0,145,0,31,700,0,0,7,0,Northeast
794,89,1336,0,52,0,78,1399,0,10,0,0,Northeast
1137,115,1698,18,0,0,21,1873,11,0,0,0,Northeast
791,29,1458,7,9,0,16,1540,9,0,0,0,Northeast
650,0,856,0,0,0,0,856,0,0,0,0,Northeast
427,23,1095,0,0,0,0,1131,0,0,0,0,Northeast
602,42,1687,41,0,0,15,1837,0,0,0,0,Northeast
769,5,1345,0,65,0,0,1415,0,0,0,0,Northeast
230,14,321,0,0,0,0,347,0,0,0,0,Northeast
0,0,0,0,0,0,0,0,0,0,0,0,Northeast
586,99,1089,0,28,0,0,1225,0,28,0,0,Northeast
288,65,951,7,5,0,19,1102,0,0,0,0,Northeast
326,87,1221,46,113,8,22,1564,0,0,0,0,Northeast
544,324,1453,0,134,0,32,2111,25,0,6,0,Northeast
1783,334,2396,0,25,0,84,2724,0,0,0,0,Northeast
1269,419,2100,0,12,0,58,2524,0,0,0,0,Northeast
537,466,901,0,162,0,147,1418,19,0,17,0,Northeast
383,855,664,0,78,0,34,1652,0,6,0,0,Northeast
1123,1135,3304,0,721,0,58,5314,0,17,32,0,Northeast
855,52,1265,0,0,0,115,1214,0,0,0,0,Northeast
1147,21,2008,0,0,0,0,2029,0,0,0,0,Northeast
1335,29,2022,10,0,0,8,2072,0,0,0,7,Northeast
1707,57,2303,0,0,0,38,2414,0,0,0,0,Northeast
507,847,782,0,167,0,280,1727,42,0,23,0,Northeast
530,617,352,10,232,0,142,1129,7,8,52,0,Northeast
943,1034,1040,0,263,0,52,2354,0,0,6,0,Northeast
1210,1242,699,0,288,0,300,2105,0,11,20,11,Northeast
856,1206,459,0,383,0,113,2073,0,29,9,0,Northeast
994,1358,710,64,592,0,177,2721,93,40,84,0,Northeast
805,1775,845,3,377,0,259,3028,0,24,34,0,Northeast
789,1480,1360,36,212,0,191,3016,0,89,0,0,Northeast
343,1359,73,3,335,0,69,1834,0,0,23,0,Northeast
374,1130,107,0,345,0,109,1566,0,12,31,0,Northeast
960,56,1372,0,41,0,24,1524,0,0,0,0,Northeast
932,362,1079,0,87,0,52,1527,0,0,0,0,Northeast
696,341,1007,0,130,0,141,1438,27,0,6,0,Northeast
805,257,672,0,173,0,109,1033,0,19,30,0,Northeast
895,7,1702,0,26,0,121,1614,0,12,0,0,Northeast
1180,47,1769,0,0,0,69,1825,12,0,0,0,Northeast
2047,28,2530,25,0,0,52,2622,45,12,3,0,Northeast
981,58,2137,0,26,0,33,2327,0,31,0,0,Northeast
550,18,1035,20,0,0,25,1072,17,0,0,16,Northeast
1861,39,3131,0,0,0,55,3144,0,0,0,0,Northeast
1417,86,2896,0,31,0,68,3052,0,0,0,9,Northeast
2526,378,4396,66,0,0,275,4588,54,0,0,0,Northeast
1909,36,2359,0,9,0,37,2386,0,7,0,0,Northeast
1250,49,2594,12,0,0,38,2658,0,0,0,0,Northeast
2467,66,3340,0,10,0,52,3429,42,0,0,0,Northeast
915,87,1995,0,9,0,82,2086,0,0,0,0,Northeast
1350,65,2289,0,0,0,22,2392,0,0,0,35,Northeast
601,12,1905,0,0,0,60,1877,0,0,0,0,Northeast
527,3,1468,0,1,0,0,1481,10,14,0,0,Northeast
611,28,2601,0,0,0,9,2660,0,0,0,0,Northeast
1964,79,3049,0,26,0,56,3177,0,36,0,0,Northeast
2524,146,4011,0,0,0,366,3963,11,0,0,0,Northeast
3885,466,5733,0,15,0,91,6318,17,0,0,19,Northeast
2834,23,3966,0,0,0,14,4074,0,0,0,0,Northeast
1495,274,3153,0,0,0,80,3393,0,0,0,36,Northeast
2265,151,4933,0,0,0,0,5198,0,0,0,0,Northeast
1482,14,2913,0,56,0,82,2930,0,0,30,0,Northeast
1284,98,4514,0,0,0,0,4706,13,0,0,0,Northeast
502,17,1760,0,0,0,26,1760,9,0,0,5,Northeast
461,31,1433,0,0,0,0,1469,0,0,0,0,Northeast
1114,63,1736,0,15,0,43,1771,0,0,0,0,Northeast
1044,1,2305,12,0,0,0,2333,0,0,0,0,Northeast
1483,45,3586,0,0,0,0,3733,0,0,0,0,Northeast
1884,375,2930,0,51,0,422,3073,20,0,16,80,Northeast
1575,1255,937,0,0,0,1266,1160,62,6,0,0,Northeast
2185,913,2541,23,8,0,1040,2575,137,11,0,0,Northeast
2061,309,2808,0,0,0,237,3037,0,0,0,41,Northeast
1266,25,3266,0,0,0,21,3290,0,0,0,0,Northeast
1475,29,5853,0,0,0,25,5864,0,0,0,0,Northeast
664,317,876,0,0,0,313,887,19,0,0,0,Northeast
1796,818,1488,0,20,0,1017,1614,139,23,10,0,Northeast
868,286,803,0,0,0,446,824,28,12,0,0,Northeast
728,49,1931,0,0,0,39,1967,0,12,0,11,Northeast
601,10,2141,0,0,7,7,2168,0,12,0,0,Northeast
288,10,1035,0,0,0,10,1119,0,0,0,0,Northeast
349,18,1081,10,0,0,28,1081,0,0,0,0,Northeast
1459,93,5334,19,0,0,59,5387,13,0,0,0,Northeast
1379,357,2534,0,9,0,373,2566,38,0,0,0,Northeast
697,72,2182,0,0,0,0,2302,0,0,0,6,Northeast
119,0,742,0,0,0,0,742,0,0,0,0,Northeast
655,6,1865,0,0,0,6,1883,0,0,0,0,Northeast
504,104,1324,0,36,0,0,1464,0,7,0,0,Northeast
994,0,2777,0,0,0,13,2764,16,0,0,0,Northeast
1653,55,3888,31,13,0,12,3994,0,13,0,0,Northeast
1373,2,3253,0,0,0,75,3189,11,0,0,0,Northeast
1368,7,4127,0,29,0,44,4160,0,0,0,0,Northeast
1767,22,3235,9,20,0,75,3293,0,9,0,0,Northeast
1378,55,3847,0,0,0,96,3892,0,0,0,0,Northeast
857,142,1622,0,0,0,89,1801,0,0,0,0,Northeast
1498,3,2288,9,0,0,9,2318,0,0,0,0,Northeast
1804,79,3176,0,0,0,5,3301,0,0,0,0,Northeast
756,67,3069,0,0,0,35,3101,10,0,0,0,Northeast
1119,45,1919,0,0,0,0,2073,0,0,0,0,Northeast
698,904,551,0,9,0,342,1256,45,4,0,0,Northeast
1509,2564,459,0,0,0,2659,657,200,36,0,0,Northeast
2104,779,3148,0,0,0,682,3317,20,19,0,0,Northeast
2983,29,4717,0,0,0,14,4732,0,0,0,36,Northeast
1041,1571,123,0,0,0,1763,238,106,0,0,0,Northeast
2005,2145,385,10,15,0,2474,704,170,0,0,0,Northeast
2425,4781,204,11,0,0,5127,760,319,0,0,0,Northeast
1721,4074,94,0,7,0,3950,565,141,0,0,0,Northeast
1787,4429,118,43,47,0,3879,1396,88,22,0,0,Northeast
1021,2656,13,0,38,0,2238,614,64,6,0,0,Northeast
1150,1213,853,0,0,0,1321,935,76,5,0,0,Northeast
2067,31,4348,0,0,0,0,4379,0,0,0,0,Northeast
1343,32,3862,15,0,0,0,4014,0,0,0,0,Northeast
749,29,2052,0,0,0,79,2104,0,0,0,13,Northeast
1533,89,3974,0,0,10,70,4078,0,9,0,0,Northeast
466,0,1448,0,0,0,29,1427,0,0,0,0,Northeast
2720,51,5975,0,0,0,42,6118,0,0,0,0,Northeast
1338,12,2304,0,0,0,10,2393,0,0,0,0,Northeast
3398,212,3844,0,22,0,251,3853,32,0,0,0,Northeast
2493,65,3147,0,0,0,7,3212,0,0,0,0,Northeast
1960,5532,265,0,0,0,3885,2494,37,65,0,11,Northeast
796,2262,114,0,22,0,1605,1019,29,0,0,29,Northeast
257,501,101,34,118,0,929,291,83,0,5,0,Northeast
588,301,1178,0,0,0,381,1263,27,0,0,0,Northeast
1330,2224,62,0,59,0,2261,1014,61,48,17,0,Northeast
763,992,54,18,93,0,1287,520,44,46,20,0,Northeast
1345,2734,103,7,6,0,2256,1500,70,194,0,0,Northeast
1724,4428,294,108,16,0,2775,3062,81,176,0,0,Northeast
764,4554,19,0,49,0,2055,3326,0,20,0,0,Northeast
550,5374,65,0,0,0,2604,3637,20,34,0,14,Northeast
1101,4333,8,11,22,0,2983,2667,32,66,11,0,Northeast
420,649,9,36,84,0,929,340,48,30,29,0,Northeast
854,1470,0,0,253,0,1641,595,67,26,36,0,Northeast
2451,2983,162,16,283,0,4578,1320,194,199,30,0,Northeast
591,1079,1,0,48,9,1380,260,64,46,5,0,Northeast
1132,1581,41,0,162,12,2069,585,127,37,24,0,Northeast
1286,898,107,138,769,0,1650,1048,142,0,130,0,Northeast
2018,1445,9,22,403,0,2625,663,221,5,54,0,Northeast
1108,1329,68,13,352,0,1978,534,143,0,25,0,Northeast
2034,2250,49,0,613,0,3822,1010,358,6,72,0,Northeast
2568,2454,156,176,369,0,4011,938,427,7,48,0,Northeast
2765,2679,21,18,579,0,4211,1147,485,0,58,0,Northeast
2018,2525,126,105,395,0,4123,1040,243,18,21,0,Northeast
2534,2461,396,0,522,67,4742,1166,225,0,50,0,Northeast
1175,1367,0,47,27,0,2191,70,157,0,3,0,Northeast
541,685,42,27,510,0,923,942,62,0,58,0,Northeast
1065,1384,19,20,431,0,2116,1300,83,0,50,0,Northeast
1325,1355,77,7,661,0,2248,1019,92,0,102,0,Northeast
1778,1173,137,0,2610,0,452,3736,0,7,418,31,Northeast
1314,1221,39,8,1434,0,1056,2088,100,30,155,0,Northeast
1114,1332,82,68,899,0,850,1985,0,0,95,8,Northeast
1279,1981,353,11,972,0,462,3062,0,0,133,0,Northeast
3406,3163,124,94,310,0,5152,672,492,0,22,0,Northeast
1163,1026,56,48,0,0,1855,96,179,0,0,0,Northeast
485,1274,0,40,44,0,410,1201,0,7,9,0,Northeast
601,217,524,0,11,0,243,580,0,6,0,0,Northeast
1533,1303,410,0,34,0,1920,609,226,0,5,0,Northeast
1667,1189,407,7,13,0,1704,608,231,21,5,0,Northeast
1424,1664,141,0,0,0,2357,281,259,12,0,0,Northeast
1605,1651,37,0,0,0,2629,183,387,0,0,0,Northeast
2042,1988,189,0,0,14,2684,313,278,0,0,0,Northeast
938,599,671,0,9,0,860,729,108,0,0,0,Northeast
1298,915,719,0,0,0,1293,719,111,0,0,0,Northeast
1227,378,1529,0,12,0,670,1576,70,0,0,0,Northeast
1029,220,1181,0,0,0,438,1201,61,0,0,0,Northeast
697,117,1223,0,7,0,68,1279,0,0,7,0,Northeast
712,0,869,0,0,0,149,869,0,0,0,0,Northeast
1648,2648,0,290,321,0,4057,728,131,19,11,0,Northeast
393,1686,0,0,71,0,1508,630,50,86,13,0,Northeast
3465,4004,263,106,89,0,6076,1734,131,46,10,0,Northeast
1284,2520,57,92,57,0,3831,562,187,70,12,0,Northeast
536,400,227,0,0,0,627,256,70,0,0,0,Northeast
907,1600,0,0,78,0,1622,203,92,17,14,0,Northeast
2406,2948,79,11,42,0,5190,293,211,26,0,0,Northeast
3693,3604,115,0,33,0,6002,332,464,0,0,0,Northeast
2832,3575,154,0,0,0,5510,314,257,20,0,0,Northeast
2977,2807,107,22,17,0,6259,500,230,0,0,0,Northeast
2924,2684,111,0,93,0,4770,375,360,27,16,0,Northeast
436,1030,37,0,10,0,1046,486,0,27,0,0,Northeast
1644,4830,223,56,0,0,3514,3112,43,0,0,0,Northeast
1023,2841,166,0,11,0,1265,2283,52,110,0,0,Northeast
384,3256,33,0,41,0,1779,2111,17,33,9,0,Northeast
1383,2549,53,0,67,0,2349,1857,37,58,15,0,Northeast
1362,2276,45,39,0,0,2183,1202,67,12,0,0,Northeast
644,1158,45,5,8,0,1344,393,72,11,0,0,Northeast
2405,2503,137,0,26,0,3486,869,247,0,0,0,Northeast
2945,5214,39,104,0,0,6047,1051,270,0,0,0,Northeast
1358,3304,96,25,35,0,3913,1006,90,43,0,0,Northeast
2024,2666,0,7,0,0,3941,272,140,0,0,0,Northeast
2856,2796,241,0,97,0,5973,656,192,0,0,0,Northeast
1199,2328,419,0,33,7,3345,1257,123,16,0,0,Northeast
943,537,402,21,0,0,943,442,125,3,0,0,Northeast
3182,1904,1303,0,42,0,3522,1474,316,0,0,0,Northeast
2773,2484,116,0,0,0,5271,452,260,0,0,20,Northeast
2380,2290,386,0,9,0,3819,602,277,0,0,0,Northeast
3031,1618,2580,0,0,0,2835,2786,339,0,0,0,Northeast
888,62,1324,0,0,0,146,1331,16,0,0,0,Northeast
2661,1344,2326,0,61,0,2282,2563,119,0,0,0,Northeast
2643,508,3601,0,27,0,524,4069,0,0,0,0,Northeast
3073,545,4532,0,0,0,732,4702,19,0,0,0,Northeast
2570,1881,2964,0,17,0,3757,3343,150,27,0,0,Northeast
564,99,746,0,0,0,250,751,16,0,0,0,Northeast
573,61,849,7,0,0,33,892,0,0,0,0,Northeast
634,172,836,0,7,0,155,932,49,0,0,0,Northeast
955,224,1302,0,0,0,387,1302,17,0,0,0,Northeast
533,112,654,11,0,0,237,666,14,0,0,0,Northeast
506,142,833,0,0,0,144,831,0,0,0,0,Northeast
760,180,842,0,0,0,270,843,16,0,0,0,Northeast
661,31,984,0,0,0,31,984,13,0,0,0,Northeast
747,131,1053,0,0,0,85,1170,0,0,0,0,Northeast
365,11,695,0,0,0,7,717,0,0,0,0,Northeast
747,27,992,0,0,0,0,1019,0,0,0,0,Northeast
1306,0,1845,0,0,0,147,1845,0,0,0,0,Northeast
650,56,1057,0,0,0,90,1057,28,0,0,0,Northeast
1361,81,1867,0,0,0,296,1985,24,0,0,0,Northeast
1025,101,1521,0,17,0,0,1643,0,0,0,0,Northeast
852,45,1243,0,0,0,119,1248,15,0,0,0,Northeast
440,64,953,0,0,0,142,983,0,0,0,0,Northeast
2258,29,3383,0,0,0,54,3460,29,0,0,0,Northeast
841,36,1141,0,0,0,58,1177,24,0,0,0,Northeast
739,2,1109,0,3,0,0,1114,0,0,0,0,Northeast
2295,54,3206,0,20,0,12,3268,9,0,0,0,Northeast
2236,23,2655,0,0,0,32,2761,29,0,0,0,Northeast
1615,7,2401,40,1,0,230,2365,25,0,0,0,Northeast
1797,11,2274,9,0,0,158,2309,0,0,0,0,Northeast
1646,8,2364,0,39,0,7,2411,7,0,0,0,Northeast
1058,64,2324,19,0,0,64,2343,0,0,0,0,Northeast
1287,10,1986,0,0,0,0,2017,0,0,0,6,Northeast
1510,0,2844,0,0,0,25,2866,0,0,0,0,Northeast
396,0,632,0,0,0,0,632,16,0,0,0,Northeast
1940,26,4081,0,0,0,14,4259,0,0,0,0,Northeast
724,5,2240,0,0,0,11,2245,11,0,0,0,Northeast
1737,63,2696,0,0,0,40,2771,0,0,0,0,Northeast
1646,14,2648,0,0,24,0,2735,0,0,0,0,Northeast
926,53,2155,0,0,0,247,2205,0,0,0,0,Northeast
1729,0,3024,0,4,0,26,3105,26,2,0,0,Northeast
1239,46,1899,0,0,0,50,1918,0,0,0,0,Northeast
1069,977,2051,0,3,0,1436,2154,13,0,0,0,Northeast
1802,2103,1074,0,152,0,4607,1910,69,9,0,0,Northeast
1961,3542,680,19,115,0,4644,1860,151,24,0,0,Northeast
1647,2891,1128,10,7,0,3499,2314,85,11,0,34,Northeast
1980,956,3685,13,91,14,2007,4284,49,0,0,0,Northeast
1409,1137,2816,0,0,0,1128,3319,14,0,0,49,Northeast
1050,487,5199,2,58,0,409,5880,28,0,0,0,Northeast
484,215,2912,0,0,0,113,3138,14,13,0,0,Northeast
812,35,1204,0,0,0,49,1201,0,0,0,0,Northeast
2375,137,4167,0,11,0,95,4240,0,0,0,0,Northeast
827,58,1333,21,22,0,152,1375,0,0,0,0,Northeast
2269,52,5321,0,0,0,203,5405,0,0,0,0,Northeast
2317,88,4091,0,9,0,107,4189,25,0,0,0,Northeast
874,55,1624,0,0,0,0,1719,0,19,0,0,Northeast
1699,13,3087,0,0,0,11,3100,0,0,0,0,Northeast
2229,4,4614,28,48,0,0,4694,0,0,48,0,Northeast
1127,89,1863,0,0,0,140,1832,0,0,0,0,Northeast
1807,229,3009,0,55,0,0,3301,0,0,0,0,Northeast
755,61,2282,8,0,0,61,2290,0,0,0,0,Northeast
1720,15,4769,0,0,0,21,4896,0,0,0,0,Northeast
425,70,1495,0,18,0,27,1556,0,0,4,0,Northeast
1078,2,2492,0,0,0,91,2481,0,0,0,0,Northeast
1101,12,2477,0,0,0,12,2491,6,19,0,0,Northeast
178,2078,1121,0,33,0,122,3259,0,0,8,0,Northeast
525,1510,2029,0,35,13,114,3677,29,0,0,0,Northeast
526,2588,1165,0,17,0,359,3570,0,0,0,0,Northeast
72,1750,121,0,3,0,65,1863,0,0,0,0,Northeast
99,1854,25,0,23,0,184,1718,0,0,0,0,Northeast
56,1234,498,0,0,0,58,1710,0,0,0,0,Northeast
386,1075,1840,26,49,0,76,2993,0,0,0,0,Northeast
898,14,2664,0,0,0,12,2691,0,0,0,0,Northeast
2178,287,4951,0,24,0,200,5062,0,0,0,0,Northeast
789,34,2836,0,5,0,0,2897,0,0,0,0,Northeast
420,0,1080,0,14,0,0,1103,0,0,0,0,Northeast
1016,137,3884,16,0,0,49,4079,8,8,0,0,Northeast
1503,21,4103,0,0,0,1,4232,0,0,0,0,Northeast
1932,12,3720,26,0,0,13,3745,0,0,0,0,Northeast
1144,31,2337,0,0,0,21,2410,0,0,0,0,Northeast
502,3015,23,0,39,0,411,2725,0,0,0,0,Northeast
547,5928,12,0,0,0,521,5510,0,0,0,0,Northeast
160,4558,153,0,0,0,466,4483,0,10,0,0,Northeast
354,3764,447,0,204,0,480,3985,0,0,0,0,Northeast
1556,18,3532,0,0,0,138,3605,0,0,0,0,Northeast
485,1222,1529,11,0,0,135,2768,0,0,0,0,Northeast
239,2286,143,0,22,0,105,2421,5,0,0,0,Northeast
492,2052,948,21,34,0,222,2874,0,0,0,0,Northeast
1414,1154,3748,0,0,0,258,4778,0,0,0,0,Northeast
1248,30,3180,0,0,0,23,3365,0,0,0,0,Northeast
1173,2606,141,0,1179,0,689,3831,22,250,38,59,Northeast
641,2406,15,0,10,0,168,2385,0,189,0,10,Northeast
2151,5063,136,0,409,0,497,5291,18,749,129,156,Northeast
1051,4774,198,0,698,0,699,5376,32,121,28,0,Northeast
659,4383,1,15,109,0,551,4198,46,65,0,0,Northeast
548,5872,125,0,455,0,856,6068,44,110,0,21,Northeast
504,3634,140,0,394,22,1163,3340,6,152,0,0,Northeast
2282,3761,0,0,0,0,3368,662,204,0,0,0,Northeast
349,2045,4,0,849,0,107,2869,0,41,37,0,Northeast
1742,3953,112,0,489,12,2808,2221,274,117,0,0,Northeast
497,2213,5,5,39,0,335,1966,0,35,5,0,Northeast
1136,4513,135,0,216,0,1377,3871,16,411,0,17,Northeast
914,4423,39,0,420,0,491,4457,10,255,17,0,Northeast
665,2995,9,0,187,13,252,3057,32,208,12,12,Northeast
91,2131,0,0,91,0,43,2261,0,7,8,0,Northeast
362,5852,285,0,402,0,279,6305,0,12,21,0,Northeast
144,3073,0,0,133,0,100,3207,0,0,0,0,Northeast
202,3258,0,0,204,0,91,3546,0,0,10,0,Northeast
254,5133,14,50,152,0,195,5205,0,0,0,0,Northeast
134,2200,0,0,115,0,54,2297,0,8,5,0,Northeast
220,4130,40,0,468,0,75,4704,0,11,12,0,Northeast
405,2090,27,0,149,0,284,1997,0,0,27,0,Northeast
421,2918,100,0,1218,0,273,4116,0,46,79,0,Northeast
376,4151,9,0,853,0,59,5100,9,0,53,0,Northeast
251,4414,1,0,344,0,116,4797,0,11,0,0,Northeast
126,3301,18,0,198,0,127,3446,0,8,0,0,Northeast
339,3648,50,35,327,0,80,4140,0,31,42,0,Northeast
270,2502,35,11,521,0,204,2934,9,49,20,11,Northeast
552,4954,245,27,405,0,51,5654,0,15,56,0,Northeast
356,3608,12,0,638,0,31,4281,0,66,32,0,Northeast
1505,2361,406,0,978,0,699,3251,34,79,140,6,Northeast
340,4347,15,0,1073,0,126,5386,0,29,92,0,Northeast
386,4962,25,0,988,0,90,5992,0,38,53,0,Northeast
524,3507,29,0,1586,0,168,5035,13,44,149,0,Northeast
316,4876,17,0,2045,0,61,6920,0,57,64,0,Northeast
190,3188,0,0,646,0,98,3782,0,0,10,0,Northeast
217,3861,51,0,547,0,224,4378,0,54,23,0,Northeast
445,4930,58,0,700,0,62,5641,25,58,0,0,Northeast
699,3671,0,20,383,0,625,3544,0,34,18,0,Northeast
86,3011,5,0,330,0,43,3424,0,25,12,0,Northeast
380,4280,94,0,556,0,478,4719,7,35,33,0,Northeast
