individuals_income_below_185_percent_poverty_level,total_population_white,total_population_black_or_african_american,total_population_american_indian_and_alaska_native,total_population_asian,total_population_native_hawaiian_and_other_pacific_islander,total_population_hispanic_or_latino_origin,total_population_non_hispanic_or_latino_origin,total_lep_households_spanish,total_lep_households_other_indo_european_languages,total_lep_households_asian_and_pacific_island_languages,total_lep_households_other_languages,region
1013,3454,9,9,3,0,10,3469,4,0,0,0,West
1723,4516,62,74,34,29,78,4637,0,0,0,0,West
1382,3270,0,10,0,0,3,3368,0,0,0,0,West
917,1817,0,0,26,0,0,1968,0,0,26,0,West
304,2046,0,0,6,0,16,2043,0,0,0,0,West
566,2962,5,0,102,0,35,3090,0,0,0,0,West
477,2255,0,0,0,0,19,2254,0,0,0,0,West
1207,2570,48,0,19,0,0,2637,0,0,0,0,West
966,4626,20,1,0,7,187,4502,0,0,0,0,West
781,4473,40,0,19,0,135,4513,0,0,0,0,East
1138,3593,0,0,61,0,49,3685,0,0,0,0,East
1703,4961,58,7,16,0,43,5070,0,5,0,0,East
592,1943,2,3,2,0,9,1943,0,0,0,0,East
845,2255,0,1,7,0,1,2262,0,0,0,0,East
935,2528,53,2,11,0,8,2595,0,12,0,0,East
2201,4695,17,25,17,0,3,5036,32,0,0,0,East
644,3087,17,4,7,0,2,3142,0,0,0,1,East
918,5837,20,0,18,0,82,5828,0,0,0,0,South
193,1904,5,0,66,0,5,1987,0,0,0,0,South
1342,6809,24,0,91,0,186,6928,0,0,0,0,South
382,1333,0,0,0,0,0,1333,0,0,0,0,South
1177,4888,0,75,0,0,83,4978,0,0,0,0,South
1711,4670,22,0,12,0,248,4571,29,3,0,0,South
458,2504,0,6,2,0,37,2509,0,2,0,0,South
1292,6143,255,15,15,0,360,6353,12,0,3,0,South
719,2931,3,2,0,0,67,2888,2,0,0,0,East
1358,5673,41,7,71,0,69,5774,0,0,6,0,East
1579,4359,39,15,7,0,95,4382,0,0,0,0,East
1261,2604,78,15,3,0,134,2703,7,7,0,0,East
3123,6342,234,0,94,0,44,6626,0,0,19,0,East
611,3260,22,0,0,0,18,3300,0,0,0,0,East
3432,5256,428,19,264,0,329,5769,0,7,64,0,East
1023,1152,185,47,11,0,51,1467,0,14,0,0,East
783,3860,135,0,115,14,66,4162,9,7,0,0,East
1118,2850,35,0,0,6,49,2900,0,0,0,0,East
1435,3407,86,0,0,0,15,3509,0,10,0,0,East
804,3310,44,1,0,0,77,3294,0,0,0,0,East
2025,2098,2028,0,46,0,523,3976,50,0,0,74,Northeast
3919,3452,2515,15,301,0,1670,5771,158,60,0,120,Northeast
1485,1137,873,35,137,0,722,1833,19,73,0,0,Northeast
1943,3311,1702,0,57,0,1037,4528,87,66,0,36,Northeast
1413,2412,1012,0,112,0,255,3407,81,15,15,60,Northeast
1510,2034,1387,0,256,0,387,3709,0,182,0,0,Northeast
1408,1671,876,10,262,0,465,2567,32,52,17,43,Northeast
1143,1250,255,0,225,0,54,1752,20,144,26,120,Northeast
2439,3814,1072,0,204,0,1536,4697,157,71,39,21,Northeast
1092,2065,849,0,310,0,943,2677,50,59,41,47,Northeast
2314,2745,1597,0,361,0,1373,3703,119,57,28,12,Northeast
1093,1511,1242,0,181,0,935,2683,141,97,0,0,Northeast
1584,3868,711,0,1280,0,1246,5594,17,50,39,0,Northeast
1662,4337,196,11,596,0,378,5006,81,284,17,8,Northeast
1110,3145,423,75,666,0,644,4099,12,14,36,94,Northeast
1390,2300,992,0,639,0,866,3366,31,26,12,47,Northeast
3458,1923,828,0,2744,0,1691,4848,101,306,102,111,Northeast
4002,3964,356,66,1807,0,340,6185,0,187,11,376,Northeast
2534,2157,619,0,1082,0,1203,3547,0,117,46,24,Northeast
392,1309,94,0,304,0,212,1632,16,5,7,5,Northeast
3506,4049,672,0,1977,0,2454,5582,132,196,16,235,Northeast
1992,3741,187,0,1775,17,1529,4646,78,162,210,34,Northeast
4598,3237,560,294,2712,0,942,6929,65,109,55,224,Northeast
3479,2585,1486,0,1598,0,1343,4803,57,100,74,121,Northeast
2272,2336,562,0,1380,0,892,3685,81,149,132,70,Northeast
1737,2038,1017,22,625,0,715,3196,158,108,88,79,Northeast
873,1553,517,26,397,0,316,2477,20,39,50,0,Northeast
